VENTA_ID|CAJERO_ID|COMPRADOR_ID|FECHA_VENTA|MONTO_TOTAL|CODIGO_PRODUCTO|NOMBRE_PRODUCTO|CODIGO_FAMILIA|NOMBRE_FAMILIA|CANTIDAD
255|2|481|01/09/19 13:30:16,000000000|Q.7440-.|7613030264088|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL * TR|1|OFERTAS ESPECIALES|1,0
255|2|174|01/09/19 13:30:16,000000000|Q.7440-.|7801610001295|COCACOLA ORIGINAL RETORNABLE 2.0L|11|BEBIDAS COCA COLA|1,0
257|2|113|01/09/19 13:32:58,000000000|Q.5000-.|956260858|DETERG. BIO SOL CON SUAVIZANTE 5L|10|ART.LIMPIEZA|1,0
257|2|409|01/09/19 13:32:58,000000000|Q.5000-.|7802225587198|GOLPE ARCOR 36g|1|OFERTAS ESPECIALES|2,0
257|2|223|01/09/19 13:32:58,000000000|Q.5000-.|7806500507956|* TRIAL * TRI|10|ART.LIMPIEZA|1,0
268|2|62|01/09/19 13:46:08,000000000|Q.4360-.|7613035953949|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL *|1|OFERTAS ESPECIALES|1,0
268|2|128|01/09/19 13:46:08,000000000|Q.4360-.|7805000313616|* TRIAL * TRIAL * TRIAL * TRIA|10|ART.LIMPIEZA|1,0
268|2|401|01/09/19 13:46:08,000000000|Q.4360-.|7802900056070|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL * TR|13|LÁCTEOS|2,0
269|2|137|01/09/19 13:47:29,000000000|Q.2980-.|7802900001308|LECHE NATURAL SOPROLE 1L.|13|LÁCTEOS|1,0
269|2|26|01/09/19 13:47:29,000000000|Q.2980-.|7802337101015|VINAGRE VINO BLANCO TRAVERSO 250ml.|1|OFERTAS ESPECIALES|1,0
269|2|176|01/09/19 13:47:29,000000000|Q.2980-.|7801610001295|COCACOLA ORIGINAL RETORNABLE 2.0L|11|BEBIDAS COCA COLA|1,0
271|2|213|01/09/19 13:50:23,000000000|Q.-1800.|7802095188037|PANCHO VILLA CACAHUATE SABOR CHIPOTLE|1|OFERTAS ESPECIALES|1,0
279|2|148|01/09/19 13:57:10,000000000|Q.4900-.|7802930000333|QUESO RALLADO PAR.QUILL 40g.|1|OFERTAS ESPECIALES|2,0
281|3|314|01/09/19 13:57:49,000000000|Q.-850.|7801610125359|SPRITE RETORNABLE 1.25L.|11|BEBIDAS COCA COLA|1,0
285|2|306|01/09/19 14:00:00,000000000|Q.-1250.|7801610001295|COCACOLA ORIGINAL RETORNABLE 2.0L|11|BEBIDAS COCA COLA|1,0
287|2|454|01/09/19 14:03:02,000000000|Q.9380-.|7801620006891|PEPSI ZERO AZUCAR 3L|12|BEBIDAS C.C.U|1,0
287|2|346|01/09/19 14:03:02,000000000|Q.9380-.|7801620001896|* TRIAL * TRIAL * TRIAL * |1|OFERTAS ESPECIALES|1,0
293|3|151|01/09/19 14:05:18,000000000|Q.5230-.|7801300000706|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
295|3|257|01/09/19 14:07:26,000000000|Q.3980-.|7801610333426|* TRIAL * TRIAL * TR|11|BEBIDAS COCA COLA|1,0
296|2|318|01/09/19 14:07:16,000000000|Q.-1600.|7801620001957|PEPSI RETORNABLE 2.5L|12|BEBIDAS C.C.U|1,0
300|2|207|01/09/19 14:11:37,000000000|Q.-1300.|7613035190467|JUGOSO AL HORNO POLLO AL LIMON MAGGI 24g|8|JUGOS-NECTAR|2,0
301|2|147|01/09/19 14:12:13,000000000|Q.-1000.|7802000011917|* TRIAL * TRIAL * TR|4|CONFITES-GALLETAS|1,0
305|2|71|01/09/19 14:17:39,000000000|Q.3500-.|7801620001223|KEM DESECHABLE 3L|1|OFERTAS ESPECIALES|1,0
306|2|331|01/09/19 14:24:52,000000000|Q.-2100.|78019065|PALL MALL VERDE CLICK DE 10 |7|CIGARROS|1,0
307|3|148|01/09/19 14:23:50,000000000|Q.-850.|7801610000540|* TRIAL * TRIAL * TRIAL * TRIAL * TRI|11|BEBIDAS COCA COLA|1,0
309|3|151|01/09/19 14:27:22,000000000|Q.6010-.|7802705613645|* TRIAL * TRIAL * TRIAL * TRIAL|1|OFERTAS ESPECIALES|1,0
310|2|255|01/09/19 14:26:49,000000000|Q.4900-.|7801610001165|* TRIAL * TRIAL * TRIAL * TRIAL * T|11|BEBIDAS COCA COLA|2,0
312|3|475|01/09/19 14:32:49,000000000|Q.3080-.|7790580409180|MOGUL OSITOS ARCOR 25g|1|OFERTAS ESPECIALES|1,0
312|3|479|01/09/19 14:32:49,000000000|Q.3080-.|7613032415679|CREMA LECHE NESTLE 236g.|1|OFERTAS ESPECIALES|1,0
313|2|491|01/09/19 14:32:42,000000000|Q.-400.|7802200266032|JUGO VIVO SABOR DURAZNO 1L 8g|8|JUGOS-NECTAR|1,0
313|2|339|01/09/19 14:32:42,000000000|Q.-400.|7802800579013|* TRIAL * TRIAL * TRIAL |8|JUGOS-NECTAR|1,0
314|2|15|01/09/19 14:34:05,000000000|Q.-500.|7802575223050|JUGO SPRIM MELON TUNA 1L 35g|8|JUGOS-NECTAR|1,0
314|2|291|01/09/19 14:34:05,000000000|Q.-500.|7802820250206|KAPO NARANJA 252ml.|1|OFERTAS ESPECIALES|1,0
317|2|176|01/09/19 14:37:07,000000000|Q.2780-.|7801620852955|* TRIAL * TRIAL * TRIAL * TR|1|OFERTAS ESPECIALES|1,0
317|2|202|01/09/19 14:37:07,000000000|Q.2780-.|7801610223284|SPRITE ZERO RETORNABLE 2L.|11|BEBIDAS COCA COLA|1,0
321|3|146|01/09/19 14:40:13,000000000|Q.-750.|7802910001978|CREMA LISTA CALO 200ml|1|OFERTAS ESPECIALES|1,0
324|3|290|01/09/19 14:44:28,000000000|Q.5490-.|7806810016704|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|1,0
324|3|397|01/09/19 14:44:28,000000000|Q.5490-.|78021020|BELMONT DE 10|7|CIGARROS|1,0
324|3|176|01/09/19 14:44:28,000000000|Q.5490-.|7805000313821|DETERG. RINSO 400g|10|ART.LIMPIEZA|1,0
324|3|500|01/09/19 14:44:28,000000000|Q.5490-.|7805080100021|* TRIAL * TRIAL * |1|OFERTAS ESPECIALES|1,0
326|2|471|01/09/19 14:46:17,000000000|Q.-1180.|7805000307059|* TRIAL * TRIAL * |1|OFERTAS ESPECIALES|1,0
328|3|236|01/09/19 14:45:49,000000000|Q.-1700.|7801610001165|COCACOLA RETORNABLE ORIGINAL 1.25L.|11|BEBIDAS COCA COLA|2,0
